molecule_chembl_id,canonical_smiles,standard_value,value,value_group,class
CHEMBL321180,CC(C)C[C@@H](C(=O)N[C@H](C(=O)c1c[nH]c2ccccc12)C(C)(C)C)[C@H](O)C(=O)NO,0.26,0.26,0-10,active
CHEMBL279078,CNC(=O)[C@H](Cc1cccc2c1CCCC2)NC(=O)[C@H](CC(C)C)[C@H](C)C(=O)NO,0.3,0.3,0-10,active
CHEMBL4088630,COc1ccc(S(=O)(=O)N2CCSC(C)(C)C2C(=O)NO)cc1,0.4,0.4,0-10,active
CHEMBL141080,COc1ccc(S(=O)(=O)N2CCSC(C)(C)[C@@H]2C(=O)NO)cc1,0.4,0.4,0-10,active
CHEMBL139886,Cc1cc(Br)ccc1S(=O)(=O)N1CCCSC(C)(C)[C@@H]1C(=O)NO,0.5,0.5,0-10,active
CHEMBL140511,CC1(C)SCCCN(S(=O)(=O)c2ccc(Br)cc2)[C@H]1C(=O)NO,0.7,0.7,0-10,active
CHEMBL140970,COc1ccc(S(=O)(=O)N2CCCSC(C)(C)[C@@H]2C(=O)NO)cc1,0.8,0.8,0-10,active
CHEMBL144611,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](OCc1ccc2c(ccc(=O)n2C)c1)C(=O)NO)C(C)(C)C,0.88,0.88,0-10,active
CHEMBL344633,CC1(C)SCCCN(S(=O)(=O)c2ccc(-c3ccccn3)s2)[C@H]1C(=O)NO,1,1,0-10,active
CHEMBL337594,COCOC1CSC(C)(C)[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(OC)cc2)C1,1,1,0-10,active
CHEMBL342172,COc1ccc(S(=O)(=O)N2CCOCCSC(C)(C)[C@@H]2C(=O)NO)cc1,1,1,0-10,active
CHEMBL207776,C#CCOc1ccc(S(=O)(=O)N2CCSC(C)(C)[C@@H]2C(=O)NO)cc1,1,1,0-10,active
CHEMBL144843,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](NS(=O)(=O)c1cccc2cccnc12)C(=O)NO)C(C)(C)C,1.1,1.1,0-10,active
CHEMBL432991,C=CC[C@H](C(=O)NO)[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)c1c[nH]c2ccccc12,1.1,1.1,0-10,active
CHEMBL4785595,C=CC[C@H](C(=O)NO)[C@@H](CC(C)C)C(=O)N[C@H](C(=O)NC)C(C)(C)C,1.1,1.1,0-10,active
CHEMBL6572,COc1ccc(S(=O)(=O)N2C[C@@H]3CCCN3C(=O)C[C@@H]2C(=O)NO)cc1,1.2,1.2,0-10,active
CHEMBL334909,CC1(C)[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(Br)cc2)CCCS1(=O)=O,1.2,1.2,0-10,active
CHEMBL344759,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](NS(=O)(=O)c1ccc2ncccc2c1)C(=O)NO)C(C)(C)C,1.2,1.2,0-10,active
CHEMBL111798,C=CC[C@H](C(=O)NO)[C@@H](CC(C)C)C(=O)N[C@H](C(=O)c1c[nH]c2ccccc12)C(C)(C)C,1.2,1.2,0-10,active
CHEMBL32730,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)[C@H](C)C(=O)NO,1.3,1.3,0-10,active
CHEMBL328903,CNC(=O)C(NC(=O)C(CC(C)C)C(NS(=O)(=O)c1cccc2cccc(=O)n12)C(=O)NO)C(C)(C)C,1.3,1.3,0-10,active
CHEMBL342100,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](NS(=O)(=O)c1ccc2ncnc(O)c2c1)C(=O)NO)C(C)(C)C,1.3,1.3,0-10,active
CHEMBL370842,O=C1CC=C2C=CC=C(S(=O)(=O)CCC(=O)NO)N2C1,1.3,1.3,0-10,active
CHEMBL414852,O=C1CC=C2C=CC=C(C(=O)NCC(=O)NO)N2C1,1.3,1.3,0-10,active
CHEMBL198634,O=C1CC=C2C=CC=C(S(=O)(=O)NCC(=O)NO)N2C1,1.3,1.3,0-10,active
CHEMBL279785,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C,1.5,1.5,0-10,active
CHEMBL344060,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@@H](C(=O)NO)N(C)S(=O)(=O)c1ccccc1)C(C)(C)C,1.5,1.5,0-10,active
CHEMBL439983,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](NCc1cccc2cccnc12)C(=O)NO)C(C)(C)C,1.7,1.7,0-10,active
CHEMBL335719,CNC(=O)[C@H](Cc1ccc(OC)cc1)NC(=O)[C@H](CC(C)C)[C@@H](S)CC(=O)OCc1ccccc1,1.8,1.8,0-10,active
CHEMBL418292,CNC(=O)[C@@H]1Cc2ccc(cc2)OCCCC[C@H](C(=O)NO)[C@@H](CC(C)C)C(=O)N1,1.8,1.8,0-10,active
CHEMBL320045,CC(C)C[C@H]1C(=O)N[C@H](C(=O)c2ccc[nH]2)Cc2ccc(cc2)OCCCC[C@@H]1C(=O)NO,1.9,1.9,0-10,active
